Anio,Mes,Nombre_OOAD,Casos_Nuevos,Poblacion_OOAD
2022,1,Jalisco               ,1065,
2022,2,Jalisco               ,1153,
2022,3,Jalisco               ,1151,
2022,4,Jalisco               ,1683,
2022,5,Jalisco               ,1313,
2022,6,Jalisco               ,1339,4559874.0
2022,7,Jalisco               ,1528,
2022,8,Jalisco               ,1184,
2022,9,Jalisco               ,1032,
2022,10,Jalisco               ,1365,
2022,11,Jalisco               ,1070,
2022,12,Jalisco               ,1705,
2023,1,Jalisco               ,1179,
2023,2,Jalisco               ,1188,
2023,3,Jalisco               ,1263,
2023,4,Jalisco               ,1400,
2023,5,Jalisco               ,1204,
2023,6,Jalisco               ,1495,4695769.0
2023,7,Jalisco               ,1933,
2023,8,Jalisco               ,1323,
2023,9,Jalisco               ,1558,
2023,10,Jalisco               ,1036,
2023,11,Jalisco               ,907,
2023,12,Jalisco               ,1302,
2024,1,Jalisco               ,783,
2024,2,Jalisco               ,860,
2024,3,Jalisco               ,1197,
2024,4,Jalisco               ,952,
2024,5,Jalisco               ,860,
2024,6,Jalisco               ,1128,4755547.0
2024,7,Jalisco               ,894,
2024,8,Jalisco               ,1156,
2024,9,Jalisco               ,868,
2024,10,Jalisco               ,743,
2024,11,Jalisco               ,923,
2024,12,Jalisco               ,824,
2025,1,Jalisco               ,770,
2025,2,Jalisco               ,956,
2025,3,Jalisco               ,1332,
2025,4,Jalisco               ,1052,
2025,5,Jalisco               ,1187,
2025,6,Jalisco               ,1016,
2025,7,Jalisco               ,952,
2025,8,Jalisco               ,1196,
2025,9,Jalisco               ,823,
2025,10,Jalisco               ,901,
2025,11,Jalisco               ,915,4877453.0
2025,12,Jalisco               ,874,
