Anio,Mes,Nombre_OOAD,Casos_Nuevos,Poblacion_OOAD,Tasa_Incidencia_x100k
2023,1,Jalisco,1814,5200000,34.88461538461539
2023,2,Jalisco,1818,5200000,34.96153846153846
2023,3,Jalisco,1901,5200000,36.55769230769231
2023,4,Jalisco,1951,5200000,37.519230769230774
2023,5,Jalisco,1756,5200000,33.76923076923077
2023,6,Jalisco,1681,5200000,32.32692307692307
2023,7,Jalisco,1751,5200000,33.67307692307693
2023,8,Jalisco,1631,5200000,31.365384615384617
2023,9,Jalisco,1512,5200000,29.07692307692308
2023,10,Jalisco,1613,5200000,31.01923076923077
2023,11,Jalisco,1587,5200000,30.51923076923077
2023,12,Jalisco,1662,5200000,31.96153846153846
2024,1,Jalisco,1914,5230000,36.59655831739962
2024,2,Jalisco,1796,5230000,34.34034416826004
2024,3,Jalisco,1832,5230000,35.02868068833652
2024,4,Jalisco,1904,5230000,36.40535372848948
2024,5,Jalisco,1813,5230000,34.66539196940727
2024,6,Jalisco,1845,5230000,35.27724665391969
2024,7,Jalisco,1672,5230000,31.96940726577438
2024,8,Jalisco,1577,5230000,30.152963671128106
2024,9,Jalisco,1787,5230000,34.168260038240916
2024,10,Jalisco,1672,5230000,31.96940726577438
2024,11,Jalisco,1750,5230000,33.460803059273424
2024,12,Jalisco,1706,5230000,32.619502868068835
2025,1,Jalisco,1971,5260000,37.47148288973384
