Anio,Mes,Ambito,Defunciones,Poblacion,Tasa_Mortalidad_x100k,Fecha
2020,1,Jalisco,127,4357069,2.9148035066692772,2020-01-01
2020,2,Jalisco,90,4357069,2.065608784253818,2020-02-01
2020,3,Jalisco,93,4357069,2.1344624103956122,2020-03-01
2020,4,Jalisco,64,4357069,1.468877357691604,2020-04-01
2020,5,Jalisco,56,4357069,1.2852676879801537,2020-05-01
2020,6,Jalisco,66,4357069,1.514779775119467,2020-06-01
2020,7,Jalisco,73,4357069,1.675438236116986,2020-07-01
2020,8,Jalisco,67,4357069,1.5377309838333981,2020-08-01
2020,9,Jalisco,105,4357069,2.4098769149627883,2020-09-01
2020,10,Jalisco,101,4357069,2.3180720801070627,2020-10-01
2020,11,Jalisco,80,4357069,1.8360966971145052,2020-11-01
2020,12,Jalisco,111,4357069,2.547584167246376,2020-12-01
2021,1,Jalisco,140,4406676,3.176997809686939,2021-01-01
2021,2,Jalisco,84,4406676,1.9061986858121631,2021-02-01
2021,3,Jalisco,77,4406676,1.7473487953278162,2021-03-01
2021,4,Jalisco,80,4406676,1.815427319821108,2021-04-01
2021,5,Jalisco,88,4406676,1.9969700518032187,2021-05-01
2021,6,Jalisco,60,4406676,1.3615704898658307,2021-06-01
2021,7,Jalisco,67,4406676,1.520420380350178,2021-07-01
2021,8,Jalisco,76,4406676,1.7246559538300523,2021-08-01
2021,9,Jalisco,100,4406676,2.269284149776385,2021-09-01
2021,10,Jalisco,72,4406676,1.6338845878389971,2021-10-01
2021,11,Jalisco,73,4406676,1.656577429336761,2021-11-01
2021,12,Jalisco,50,4406676,1.1346420748881925,2021-12-01
2022,1,Jalisco,108,4559874,2.3684864976532247,2022-01-01
2022,2,Jalisco,94,4559874,2.061460470179658,2022-02-01
2022,3,Jalisco,81,4559874,1.7763648732399187,2022-03-01
2022,4,Jalisco,55,4559874,1.2061736793604385,2022-04-01
2022,5,Jalisco,77,4559874,1.6886431511046138,2022-05-01
2022,6,Jalisco,81,4559874,1.7763648732399187,2022-06-01
2022,7,Jalisco,78,4559874,1.71057358163844,2022-07-01
2022,8,Jalisco,76,4559874,1.6667127205707877,2022-08-01
2022,9,Jalisco,56,4559874,1.2281041098942647,2022-09-01
2022,10,Jalisco,84,4559874,1.842156164841397,2022-10-01
2022,11,Jalisco,80,4559874,1.7544344427060925,2022-11-01
2022,12,Jalisco,98,4559874,2.149182192314963,2022-12-01
2023,1,Jalisco,147,4695769,3.130477670430552,2023-01-01
2023,2,Jalisco,117,4695769,2.491604676465133,2023-02-01
2023,3,Jalisco,104,4695769,2.2147597124134513,2023-03-01
2023,4,Jalisco,102,4695769,2.1721681794824237,2023-04-01
2023,5,Jalisco,103,4695769,2.1934639459479373,2023-05-01
2023,6,Jalisco,126,4695769,2.6832665746547586,2023-06-01
2023,7,Jalisco,103,4695769,2.1934639459479373,2023-07-01
2023,8,Jalisco,98,4695769,2.0869851136203676,2023-08-01
2023,9,Jalisco,105,4695769,2.2360554788789653,2023-09-01
2023,10,Jalisco,126,4695769,2.6832665746547586,2023-10-01
2023,11,Jalisco,122,4695769,2.5980835087927026,2023-11-01
2023,12,Jalisco,138,4695769,2.938815772240926,2023-12-01
2024,1,Jalisco,168,4755547,3.532716635962172,2024-01-01
2024,2,Jalisco,112,4755547,2.355144423974781,2024-02-01
2024,3,Jalisco,107,4755547,2.2500040479044787,2024-03-01
2024,4,Jalisco,130,4755547,2.733649777827871,2024-04-01
2024,5,Jalisco,146,4755547,3.07009898125284,2024-05-01
2024,6,Jalisco,114,4755547,2.3972005744029024,2024-06-01
2024,7,Jalisco,104,4755547,2.186919822262297,2024-07-01
2024,8,Jalisco,142,4755547,2.9859866803965978,2024-08-01
2024,9,Jalisco,119,4755547,2.5023409504732053,2024-09-01
2024,10,Jalisco,120,4755547,2.523369025687266,2024-10-01
2024,11,Jalisco,128,4755547,2.69159362739975,2024-11-01
2024,12,Jalisco,104,4755547,2.186919822262297,2024-12-01
2025,1,Jalisco,146,4877453,2.9933655947069093,2025-01-01
2025,2,Jalisco,152,4877453,3.1163806191469194,2025-02-01
2025,3,Jalisco,159,4877453,3.259898147660264,2025-03-01
2025,4,Jalisco,124,4877453,2.5423105050935395,2025-04-01
2025,5,Jalisco,121,4877453,2.4808029928735347,2025-05-01
2025,6,Jalisco,117,4877453,2.3987929765801947,2025-06-01
2025,7,Jalisco,121,4877453,2.4808029928735347,2025-07-01
2025,8,Jalisco,123,4877453,2.5218080010202044,2025-08-01
2025,9,Jalisco,133,4877453,2.7268330417535545,2025-09-01
2025,10,Jalisco,140,4877453,2.8703505702668997,2025-10-01
2025,11,Jalisco,155,4877453,3.1778881313669247,2025-11-01
2020,1,Nacional,1904,50640039,3.7598707220584884,2020-01-01
2020,2,Nacional,1467,50640039,2.896917200241493,2020-02-01
2020,3,Nacional,1430,50640039,2.823852485579642,2020-03-01
2020,4,Nacional,1090,50640039,2.152446999497769,2020-04-01
2020,5,Nacional,993,50640039,1.9608989637626464,2020-05-01
2020,6,Nacional,977,50640039,1.9293034114764405,2020-06-01
2020,7,Nacional,979,50640039,1.9332528555122164,2020-07-01
2020,8,Nacional,873,50640039,1.723932321616103,2020-08-01
2020,9,Nacional,1897,50640039,3.746047667933273,2020-09-01
2020,10,Nacional,2072,50640039,4.091624021063649,2020-10-01
2020,11,Nacional,2312,50640039,4.5655573053567355,2020-11-01
2020,12,Nacional,2511,50640039,4.95852698691642,2020-12-01
2021,1,Nacional,3487,51146224,6.817707598512062,2021-01-01
2021,2,Nacional,2177,51146224,4.256423700017424,2021-02-01
2021,3,Nacional,1871,51146224,3.658139064185853,2021-03-01
2021,4,Nacional,1765,51146224,3.450890138048119,2021-04-01
2021,5,Nacional,1736,51146224,3.3941899601425125,2021-05-01
2021,6,Nacional,1617,51146224,3.1615237128746787,2021-06-01
2021,7,Nacional,1834,51146224,3.5857974578924927,2021-07-01
2021,8,Nacional,2134,51146224,4.17235102243325,2021-08-01
2021,9,Nacional,1945,51146224,3.802822276772573,2021-09-01
2021,10,Nacional,1836,51146224,3.589707814989431,2021-10-01
2021,11,Nacional,1762,51146224,3.445024602402711,2021-11-01
2021,12,Nacional,1746,51146224,3.413741745627204,2021-12-01
2022,1,Nacional,1810,53300610,3.3958335561262807,2022-01-01
2022,2,Nacional,1658,53300610,3.1106585834571123,2022-02-01
2022,3,Nacional,1347,53300610,2.5271755801669062,2022-03-01
2022,4,Nacional,1265,53300610,2.3733311870164338,2022-04-01
2022,5,Nacional,1352,53300610,2.536556335846813,2022-05-01
2022,6,Nacional,1334,53300610,2.5027856153991483,2022-06-01
2022,7,Nacional,1400,53300610,2.6266115903739187,2022-07-01
2022,8,Nacional,1407,53300610,2.6397446483257885,2022-08-01
2022,9,Nacional,1397,53300610,2.620983136965975,2022-09-01
2022,10,Nacional,1453,53300610,2.726047600580931,2022-10-01
2022,11,Nacional,1638,53300610,3.0731355607374846,2022-11-01
2022,12,Nacional,1892,53300610,3.549677949276753,2022-12-01
2023,1,Nacional,2882,55101407,5.230356458955757,2023-01-01
2023,2,Nacional,2276,55101407,4.130566030736747,2023-02-01
2023,3,Nacional,2358,55101407,4.279382557327438,2023-03-01
2023,4,Nacional,2127,55101407,3.86015551290732,2023-04-01
2023,5,Nacional,2147,55101407,3.8964522267099277,2023-05-01
2023,6,Nacional,2244,55101407,4.072491288652575,2023-06-01
2023,7,Nacional,2231,55101407,4.04889842468088,2023-07-01
2023,8,Nacional,2233,55101407,4.052528096061141,2023-08-01
2023,9,Nacional,2155,55101407,3.910970912230971,2023-09-01
2023,10,Nacional,2259,55101407,4.099713824004531,2023-10-01
2023,11,Nacional,2488,55101407,4.5153111970443875,2023-11-01
2023,12,Nacional,2891,55101407,5.2466899801669316,2023-12-01
2024,1,Nacional,3000,55714083,5.384634976402645,2024-01-01
2024,2,Nacional,2330,55714083,4.182066498339387,2024-02-01
2024,3,Nacional,2351,55714083,4.219758943174206,2024-03-01
2024,4,Nacional,2154,55714083,3.8661679130570987,2024-04-01
2024,5,Nacional,2445,55714083,4.388477505768155,2024-05-01
2024,6,Nacional,2177,55714083,3.9074501145428524,2024-06-01
2024,7,Nacional,2174,55714083,3.9020654795664496,2024-07-01
2024,8,Nacional,2133,55714083,3.82847546822228,2024-08-01
2024,9,Nacional,2089,55714083,3.7495008219017087,2024-09-01
2024,10,Nacional,2196,55714083,3.941552802726736,2024-10-01
2024,11,Nacional,2193,55714083,3.9361681677503335,2024-11-01
2024,12,Nacional,2484,55714083,4.45847776046139,2024-12-01
2025,1,Nacional,2927,56652796,5.166558769667785,2025-01-01
2025,2,Nacional,2416,56652796,4.264573278960494,2025-02-01
2025,3,Nacional,2462,56652796,4.345769624503617,2025-03-01
2025,4,Nacional,2327,56652796,4.10747600171402,2025-04-01
2025,5,Nacional,2275,56652796,4.01568882849136,2025-05-01
2025,6,Nacional,2253,56652796,3.9768557936663886,2025-06-01
2025,7,Nacional,2263,56652796,3.9945071731322845,2025-07-01
2025,8,Nacional,2220,56652796,3.9186062414289315,2025-08-01
2025,9,Nacional,2218,56652796,3.915075965535752,2025-09-01
2025,10,Nacional,2365,56652796,4.174551243684425,2025-10-01
2025,11,Nacional,2431,56652796,4.291050348159339,2025-11-01
