Unidad,Pacientes_2023,Poblacion_2023,Prevalencia_2023_Porcentaje
UMF 25 La Sauceda,343,1353,25.35107169253511
UMF 106 San Martín,85,342,24.853801169590643
UMFH 17 Atentique,39,159,24.528301886792452
UMF 36 La Garita,151,631,23.93026941362916
UMF 37 Ing. Melchor,257,1359,18.910963944076528
UMF 137 Antonio,394,2175,18.114942528735632
UMF 33 S. Marcos,183,1027,17.818889970788703
UMF 35 Vista Hermosa,354,2005,17.65586034912718
UMF 73 Martín Hidalgo,730,4246,17.192651907677813
UMF 38 Buena Vista,437,2547,17.157440125638004
